"","City","x","y"
"351","Ati",18.3375,13.21458333
"352","Atikokan",-91.61510416,48.76302083
"353","Atkarsk",45.00099206,51.87559524
"354","Atlanta",-84.34796863,33.86220929
"355","Atlantic City",-74.46079546,39.35416667
"356","Atlixco",-98.43356481,18.91296296
"357","Atoyac",-100.4337963,17.21435185
"358","Atyrau",51.91192529,47.09937739
"359","Auburn",-85.43552632,32.62119883
"360","Auckland",174.79596154,-36.92275641
"361","Augsburg",10.89067164,48.36865672
"362","Augusta1",-82.05268847,33.46614006
"363","Augusta2",-69.78323171,44.31615853
"364","Aurangabad1",84.3994602,24.74270621
"365","Aurangabad2",75.30310165,19.87180493
"366","Aurora1",-104.83091135,39.65952902
"367","Aurora2",-88.19578305,41.8401756
"368","Austin",-97.75065453,30.35958652
"369","Autlan",-104.36593137,19.77181373
"370","Auxerre",3.56666667,47.8161859
"371","Avare",-48.92561728,-23.0970679
"372","Aweil",27.4,8.7625
"373","Awka",7.0726756,6.12774749
"374","Ayacucho",-74.21814516,-13.16330645
"375","Ayakoz",80.43482143,47.96517857
"376","Ayapel",-75.14953704,8.32083333
"377","Ayaviri",-70.59083333,-14.88083334
"378","Aydin",27.81014151,37.84672432
"379","Ayorou",0.91805555,14.73472222
"380","Ayounel el Atrous",-9.62083333,16.65833333
"381","Ayr1",-4.61979167,55.46279762
"382","Ayr2",147.40972222,-19.57013889
"383","Ayutthaya",100.58707265,14.35694444
"384","Az Aubayr",47.7058114,30.38256579
"385","Az Zahran",50.16877158,26.31352151
"386","Az Zarqa",36.08543364,32.06577866
"387","Az Zawiyah",12.7045977,32.7625
"388","Azare",10.19616667,11.67583333
"389","Azogues",-78.8648075,-2.74522565
"390","Azul",-59.8625,-36.780625
"391","Babahoyo",-79.51861111,-1.79666667
"392","Babanusa",27.81071428,11.32797619
"393","Babati",35.74583333,-4.21083333
"394","Babruysk",29.20891873,53.14645317
"395","Bac Giang",106.19429407,21.19180891
"396","Bac Lieu",105.76303118,9.42774117
"397","Bacabal",-44.78557692,-4.22467949
"398","Bacau",26.89389159,46.5625809
"399","Bacolod",122.99302306,10.69783113
"400","Badajoz",-6.96660628,38.85766908
"401","Baddeck",-60.75416667,46.1
"402","Badulla",80.93394051,6.92132046
"403","Bafang",10.18863636,5.16060606
"404","Bafata",-14.65892857,12.17876984
"405","Bafia",11.22797619,4.74821429
"406","Bafoussam",10.32495372,5.50170952
"407","Bafra",35.88570675,41.57431435
"408","Bagamoyo",38.89583334,-6.44583333
"409","Bage",-54.10480769,-31.32211539
"410","Baghdad",44.40177554,33.3326974
"411","Baghlan",68.76686508,36.20024802
"412","Bago",96.48919271,17.34101562
"413","Baguio City",120.59876543,16.42106481
"414","Bahawalpur",71.75568037,29.60537311
"415","Bahia Blanca",-62.25997596,-38.72267628
"416","Bahir Dar",37.4272541,11.54255465
"417","Bahraich",81.84759117,27.51417084
"418","Baia Mare",23.57807376,47.65689891
"419","Baicheng",122.82949438,45.63661049
"420","Baie-Comeau",-68.17346491,49.21381579
"421","Baiquan",126.075,47.61208333
"422","Bairnsdale",147.62272727,-37.82613637
"423","Bakal",58.80285087,54.93969298
"424","Baker Lake",-96.02083333,64.32083334
"425","Bakersfield",-119.04242701,35.36292579
"426","Baku",49.88098684,40.41642544
"427","Balakhna",43.5750731,56.50635965
"428","Balakovo",47.79713855,52.01119478
"429","Balancan",-91.5375,17.8025
"430","Balashov",43.17634804,51.54129902
"431","Balboa",-79.56644787,8.97220946
"432","Balcarce",-58.26095679,-37.85138889
"433","Baleshwar",86.79199348,21.34785948
"434","Balikesir",27.90792773,39.64413717
"435","Balikpapan",116.84627193,-1.24945175
"436","Balkanabat",54.36315789,39.51074561
"437","Balkh",66.86158235,36.72342284
"438","Ballarat",143.84870072,-37.56169355
"439","Ballina",153.56431159,-28.85923913
"440","Balqash",74.97371795,46.84198718
"441","Balsas",-46.04191176,-7.52426471
"442","Baltasar Brum",-57.32916666,-30.725
"443","Balti",27.90285714,47.75738095
"444","Baltimore",-76.65035322,39.25887556
"445","Balykchy",76.18881579,42.46074561
"446","Balyqshy",51.87558232,47.07821392
"447","Bama",13.69144737,11.51644737
"448","Bamako",-7.98741909,12.62617314
"449","Bambari",20.67152778,5.76319444
"450","Bamenda",10.07230392,6.00509804
"451","Bamian",67.52916667,34.82916666
"452","Banamba",-7.44583333,13.54583333
"453","Banda Aceh",95.38299287,5.5220655
"454","Bandar Lampung",105.26482919,-5.40370083
"455","Bandar Seri Begawan",114.90882353,4.9102451
"456","Bandar-e Bushehr",50.83784014,28.93767007
"457","Bandar-e-Abbas",56.28716216,27.19054054
"458","Bandjarmasin",114.60447531,-3.33342593
"459","Bandundu",17.38169192,-3.30770202
"460","Bandung",108.06716171,-6.75016782
"461","Banes",-75.72159091,20.9594697
"462","Banff",-115.57083333,51.17916667
"463","Banfora",-4.7575,10.6325
"464","Bangalore",77.72203641,12.8450958
"465","Bangassou",22.821875,4.73854167
"466","Banghazi",20.10711538,32.10871795
"467","Bangkok",100.55975463,13.77432397
"468","Bangor",-68.78143939,44.80729167
"469","Banguela",13.41691176,-12.57867647
"470","Bangui",18.55044766,4.38598485
"471","Bani Walid",13.99553571,31.75238095
"472","Banja Luka",17.20669192,44.79844276
"473","Banjul",-16.58125,13.45520834
"474","Bannu",70.60448627,32.88993845
"475","Bansang",-14.65416666,13.42916667
"476","Banska Bystrica",19.14765625,48.73710938
"477","Banyuwangi",114.34152777,-8.20819444
"478","Baoding",115.7325664,38.85012651
"479","Baoji",107.6138856,34.38032117
"480","Baoshan",99.19701797,25.11956699
"481","Baotou",109.99469298,40.58688596
"482","Baqubah",44.62628205,33.74519231
"483","Bar Harbor",-68.21607143,44.3875
"484","Barabinsk",78.3505,55.35516667
"485","Barahona",-71.11020115,18.21738506
"486","Baramula",74.43394471,34.2504916
"487","Baranavichy",26.01820776,53.12871004
"488","Barbacena",-43.77207711,-21.20939055
"489","Barcaldine",145.28541667,-23.55625
"490","Barcelona1",2.1126462,41.48612573
"491","Barcelona2",-64.65604675,10.16321139
"492","Barcelos",-62.92291666,-0.97708333
"493","Barddhaman",87.70675506,23.40896861
"494","Bareilly",79.43890366,28.35133695
"495","Bari",16.83182871,41.10005787
"496","Barinas",-70.22092912,8.6269636
"497","Barisal",90.28990917,22.66510301
"498","Barlett",-89.82976658,35.15760911
"499","Barletta",16.28295455,41.3145202
"500","Barnaul",83.70748645,53.34823848
"501","Barquisimeto",-69.33141172,10.05119863
"502","Barra Mansa",-44.17209558,-22.54449856
"503","Barra do Bugres",-57.18928571,-15.07083333
"504","Barra do Garcas",-52.2554293,-15.89204546
"505","Barrancabermeja",-73.84989316,7.06805555
"506","Barranquilla",-74.80065789,10.91529605
"507","Barras",-42.29583333,-4.25
"508","Barreiras",-44.9997549,-12.14142157
"509","Barreiros",-35.17969858,-8.78280142
"510","Barretos",-48.56903595,-20.55351307
"511","Barrie",-79.68387097,44.37399193
"512","Barrow",-156.75958334,71.29541666
"513","Bartica",-58.62440476,6.39821428
"514","Bartlesville",-95.9825,36.74291667
"515","Barysaw",28.5065594,54.22075082
"516","Basankusu",19.8,1.2125
"517","Basel",7.61750486,47.55423955
"518","Basoko",23.59583334,1.23333334
"519","Basra",47.81500455,30.50598816
"520","Basse-terre",-61.4375,16.22083333
"521","Basseterre",-62.72638889,17.30601852
"522","Bastia",9.44242424,42.68257576
"523","Bata",9.77638889,1.85542929
"524","Batangas",121.0577044,13.76705975
"525","Batatais",-47.57967172,-20.89962121
"526","Bataysk",39.72997163,47.13851444
"527","Batemans Bay",150.19583333,-35.7
"528","Bath",-2.35918804,51.38461538
"529","Bathurst1",30.00047147,11.59737334
"530","Bathurst2",30.00047147,11.59737334
"531","Bati",40.01726191,11.18928571
"532","Batman",41.15158268,37.86443798
"533","Batna",6.16765872,35.54702381
"534","Baton Rouge",-91.05114282,30.3907368
"535","Batouri",14.37683333,4.42516667
"536","Battambang",103.20976191,13.1077381
"537","Batticaloa",81.70034153,7.70730874
"538","Battle Creek",-85.19064102,42.31525641
"539","Batu Pahat",102.94679487,1.86105769
"540","Batumi",41.63320313,41.61692708
"541","Baturite",-38.87916667,-4.33333333
"542","Baubau",122.60833333,-5.46458333
"543","Bauchi",9.8287234,10.31462766
"544","Bauru",-49.06535548,-22.31896853
"545","Bavaro",-68.44583333,18.7125
"546","Bawku",-0.23630952,11.06488095
"547","Bay City",-95.96188271,28.9779321
"548","Bayamo",-76.64120371,20.38263889
"549","Bayan Obo",109.96990741,41.77685185
"550","Baydhabo",43.65208333,3.12291667
"551","Bayghanin",55.87361111,48.69027778
"552","Baytown",-94.98461022,29.76619624
"553","Beaufort",-80.71497396,32.41445312
"554","Beaufort West",22.57741228,-32.3620614
"555","Beaumont",-94.14122671,30.08744824
"556","Beaver Falls",-80.28380293,40.66151334
"557","Bechar",-2.23046296,31.60462963
"558","Beckley",-81.19765326,37.79037356
"559","Beer Sheva",34.7930147,31.25134804
"560","Beeville",-97.74507576,28.40227273
"561","Behbehan",50.24559524,30.59535715
"562","Beian",126.49978522,48.25820447
"563","Beihai",109.19754206,21.5403654
"564","Beijing",114.66585201,35.5185125
"565","Beipiao",120.75535714,41.82172619
"566","Beira",34.86739297,-19.78971713
"567","Beirut",35.60630988,33.89289586
"568","Beitbridge",29.9875,-22.2125
"569","Beja",9.19369048,36.73130952
"570","Bejaia",4.83184897,36.65098959
"571","Bekasi",107.20962677,-6.24628486
"572","Bekiy",45.3175,-24.2175
"573","Belabo",13.29583334,4.92083334
"574","Belaya Kalitva",40.79516667,48.17233333
"575","Belebey",54.12275641,54.10801282
"576","Beledweyne",45.2075,4.73916667
"577","Belem",-48.42916667,-1.38153821
"578","Belen",-67.02559524,-27.65178572
"579","Belfast",-5.94875541,54.59312771
"580","Belgaum",74.49527601,15.86807325
"581","Belgorod",36.5912037,50.6046875
"582","Belgrade",20.4495614,44.79461501
"583","Belize City",-88.20333333,17.5025
"584","Bell Ville",-62.68651961,-32.62671569
"585","Bella Union",-57.59490741,-30.25601852
"586","Bella Vista",-56.52685185,-22.1087963
"587","Bellary",76.93684414,15.16323303
"588","Belleville1",-89.99643625,38.56608997
"589","Belleville2",-77.38638211,44.18160569
"590","Bellingham",-122.46693122,48.75800265
"591","Bello",-75.54888618,6.32909989
